"word","count"
"ScottAdamsSays",117
"syrup",117
"whole",117
"Jemima",117
"republicans",117
"Mitt",116
"o7n7db2Gqa",116
"YouTube",116
"John",116
"volume",116
"supports",116
"goldengateblond",116
"offensive",116
"POLL",115
"Secret",115
"lost",115
"Liar",115
"AP4LP",115
"hispanos",115
"wouldn",115
"WakeUpAmerica",115
"corporatepigs29",115
"millions",115
"Wok",115
"choose",115
"infowars",115
"Norwegian",115
"Remember",115
"r1EyCo9WD4",114
"Need",114
"Shame",114
"criminal",114
"business",114
"Major",114
"Wob",114
"Hitler",114
"🌟",114
"Wide",114
"used",113
"fH5i5qwbXV",113
"holiday",113
"DonaldTrump’s",113
"law",113
"ABC",113
"emails",113
"campaña",112
"DonaldTrump​",112
"problem",112
"BenSasse",112
"remove",112
"instapundit",112
"NAI",112
"bitch",112
"sexist",112
"KatrinaPierson",111
"Sheer",111
"putting",111
"GeorgeTakei",111
"else",111
"HillYes",111
"Bayshore",111
"condemned",111
"rallies",111
"una",111
"OUR",111
"Hwy",111
"immigration",111
"almost",111
"AmericaFIRST",111
"Protest",111
"Shows",110
"lefty",110
"hotel",110
"shares",110
"PioHN42jgu",110
"7kVYYAEArb",110
"sad",110
"sunnyherring1",110
"GOP2016",110
"Wait",109
"FROM",109
"Money",109
"CarmineZozzora",109
"system",109
"though",109
"prison",109
"SantiagoMejia",109
"night",109
"matter",108
"STOP",108
"post",108
"sgrant525",108
"Florida",108
"rhetoric",108
"fair",108
"Didn",108
"wedding",108
"QGfBvWBreM",108
"Creative",108
"pic",108
"Cannot",108
"weeklystandard",108
"telling",107
"mama",107
"RollingStones",107
"CAGopConvention",107
"David",107
"debate",106
"percent",106
"Join",106
"million",106
"confused",106
"endorsed",106
"Lrihendry",106
"Too",106
"Nov",106
"DOT",106
"idjit",106
"🛇",106
"ingredients",105
"Vine",105
"starting",105
"perhaps",105
"since",105
"join",105
"ahead",105
"Both",105
"Presidency",105
"agreements",105
"Around",105
"Notice",105
"takes",105
"WHY",105
"killed",105
"kiss",104
"rather",104
"announced",104
"MUST",103
"sense",103
"friend",103
"create",103
"wgBzzggJS5",103
"heard",103
"TrumpSuperPAC",103
"equates",103
"HillaryForPrison2016",103
"son",103
"Out",103
"Lol",103
"ban",103
"BarbMuenchen",103
"realize",103
"FluxBike",102
"Lindsey",102
"smear",102
"movement",102
"poor",102
"bicycle",102
"Ebike",102
"Check",102
"gave",102
"FLUX",102
"ElectricBike",102
"FluxElectricBike",102
"able",102
"Tuesday",102
"trust",102
"Today",102
"Association",102
"leader",102
"victory",102
"qcrkBB4uTG",102
"yeah",102
"filling",102
"BoyleAimee7",101
"mind",101
"VetsForDonald",101
"ReleaseTheTranscripts",101
"inside",101
"RedCuriosidades",101
"national",101
"Kotcha301",101
"KazmierskiR",101
"DonaldJTrumpJr",101
"RNC",101
"NRO",101
"Lee",101
"Trying",101
"statement",101
"shilling",100
"along",100
"dumb",100
"strong",100
"MittRomney",100
"People4Bernie",100
"thick",100
"privilege",100
"Was",100
"Pro",100
"place",100
"Endorse",100
"BillClinton",99
"side",99
"level",99
"hesitate",99
"afraid",99
"hand",99
"jxq7TPZBO…",99
"Truth",99
"napkins",99
"haven",99
"position",99
"released",99
"becomes",99
"probably",99
"bennyheis",98
"Racist",98
"Take",98
"TheLeadCNN",98
"comments",98
"McCain",98
"hasn",98
"EEUU",98
"deal",98
"Whether",98
"unless",98
"tigerbeat",98
"Miller",98
"proof",98
"girlsreallyrule",98
"box",98
