"word","count"
"Voting",203
"Iran",203
"helped",203
"cares",203
"CarmineZozzora",203
"leader",203
"goggles",202
"GoldmanSachs",202
"iBvDx1Bto6",202
"class",201
"joke",201
"DnIKokn10X",201
"giving",201
"First",201
"doubt",201
"dumb",200
"ORPrimary",200
"according",200
"GunnelsWarren",200
"Latism",200
"q5ZAZ…",200
"HILLARYCLINTON",200
"sister",199
"UwdKhjyqlX",199
"note",198
"feelthebern",198
"Women4Trump",198
"border",198
"kupajo322",198
"interviewed",198
"through",198
"RealAlexJones",197
"army",197
"interest",197
"Photo",197
"statement",197
"damage",196
"fuck",196
"sick",195
"Left",195
"lack",195
"husbands",195
"establishment",195
"happen",195
"TheHalliCJShow",195
"Samstwitch",195
"CLINTON",194
"meetthepress",194
"remember",194
"Then",193
"road",193
"Next",193
"fair",193
"supported",193
"ICYMI",193
"ThePost",192
"DOWN",192
"nation",192
"Right",192
"competition",191
"HumaAbedin",191
"Bhutto",191
"drapermark37",191
"DEMOCRATS",191
"Hillaryclinton",191
"ABCPolitics",190
"folks",190
"Clintons",190
"destruction",190
"Benazir",190
"mind",189
"corporate",189
"Liberal",189
"Court",188
"CrookedHillaryClinton",188
"wouldn",188
"event",188
"mentioned",187
"XJHNmPMq6G",187
"goes",187
"Abdul",187
"Today",187
"Chief",186
"join",186
"Hate",186
"respect",186
"instead",185
"social…",185
"kids",185
"Qayyum",185
"States",185
"comment",185
"Take",184
"leave",184
"VeteransForHillary",184
"KamVTV",184
"worker",184
"CruzCrew",183
"Keep",183
"abowersock",183
"xJjG5EBugB",183
"Foundation",183
"proof",183
"Muslim",183
"whatever",183
"fundraising",182
"donors",182
"Goldman",182
"Claims",182
"twitter",182
"Morning",182
"taco",181
"smart",181
"Read",181
"busting",181
"HillaryForPrison",181
"About",181
"herself",181
"🇺🇸",181
"WallStreet",181
"MEXICO",181
"r…",180
"though",180
"rap…",180
"Syria",180
"staff",180
"2ALAW",179
"protesters",179
"yeah",179
"TheLeadCNN",178
"light",178
"AmyMek",178
"hasn",178
"facts",178
"Prison",178
"VerifiedDanielA",178
"released",178
"anymore",177
"visit",177
"MainstreamNews",177
"ILLEGAL",177
"helping",177
"France4Hillary",176
"DanielaGWalls",176
"Think",176
"workers",176
"Elections2016",176
"Latinos",176
"JUST",175
"value",175
"brain",175
"exclusive",175
"LoveNotHate8",175
"deport",175
"DRJAMESCABOT",174
"Facts",174
"sexist",174
"probe",173
"OmanReagan",172
"details",172
"washingtonpost",172
"foxnewspolitics",171
"CBSNews",171
"line",171
"phony",171
"nobarriers2016",171
"nice",170
"INVASION",170
"graphic",170
"looking",170
"Money",170
"system",170
"Maybe",170
"HErHR6t31e",170
"Andrea",170
"foxnation",169
"game",169
"Chip",169
"Security",169
"questions",169
"JesseLehrich",168
"STOP",168
"Libertea2012",168
"pick",168
"heard",168
"VIDEO",168
"honest",168
"GayHillaryClinton",168
"fucking",167
"pfyjmk9n17",167
"meeting",167
"disgusting",167
"BlackLivesMatter",167
"🚂",167
"sign",166
"Bern",166
"makeamericagreatagain",166
"hypocrisy",166
"These",166
"megynkelly",166
"democrats",166
"ChatRevolve",166
"stood",166
"Hell",165
"Even",165
"Tuesday",165
"Mexico",165
"recap",165
"ptrckstone",165
"loves",165
"clean",164
"calls",164
"djbratpack",164
"nationally",164
"side",163
"account",163
"chris",163
"Huma",163
"yours",163
"article",163
"reasons",163
"idiot",163
"Corruption",162
"NotWithHer",162
"mention",162
"vilest",162
"SimonMoyaSmith",162
"seen",161
"seems",161
"young",161
"AlyLovesMovies",161
"rapist",161
"endorse",161
"8uts…",160
